country,year,crop_yield_t_per_ha,fertilizer_kg_per_ha,rainfall_mm,temperature_c,irrigation_pct,gdp_agri_usd_b,agri_employment_pct,rural_pop_pct,co2_agri_mt,food_inflation_pct,water_productivity_kg_per_mm_ha,emissions_intensity_mt_per_usdB,decade
Brazil,2010,2.917,191.9,1379.0,24.0,12.3,87.72,8.99,12.4,91.86,8.11,2.11530094271211,1.0471956224350205,2010
Brazil,2011,2.975,198.1,1901.0,24.3,12.9,86.34,9.23,12.57,80.7,2.28,1.5649658074697528,0.9346768589298123,2010
Brazil,2012,2.159,185.2,1707.0,24.8,13.3,100.0,8.65,12.5,107.89,3.37,1.2647920328060926,1.0789,2010
Brazil,2013,1.0,179.9,1933.0,26.0,12.1,94.16,7.61,12.26,90.66,7.17,0.5173305742369374,0.9628292268479184,2010
Brazil,2014,1.419,197.6,1825.0,25.3,14.2,106.76,8.21,11.45,89.08,7.53,0.7775342465753424,0.8343949044585987,2010
Brazil,2015,2.557,193.6,1698.0,24.6,12.0,122.01,6.98,11.68,63.93,3.66,1.505889281507656,0.5239734447996066,2010
Brazil,2016,1.0,209.9,1954.0,25.8,12.0,109.04,7.71,10.47,72.11,0.47,0.5117707267144319,0.6613169479090242,2010
Brazil,2017,1.143,212.3,1831.0,25.7,12.0,119.14,7.28,9.98,96.65,2.35,0.6242490442381212,0.8112304851435287,2010
Brazil,2018,1.334,203.2,1542.0,25.5,12.0,122.35,6.89,10.11,98.62,4.61,0.8651102464332037,0.8060482223130364,2010
Brazil,2019,3.014,211.2,1436.0,24.0,10.4,116.87,6.54,8.77,86.73,10.2,2.098885793871866,0.7421066141867032,2010
Brazil,2020,1.994,227.2,1598.0,25.0,11.3,128.37,6.5,7.79,101.91,5.95,1.2478097622027535,0.7938770740827296,2020
Brazil,2021,2.515,197.4,1816.0,24.8,13.8,137.34,6.66,8.43,77.11,5.72,1.3849118942731278,0.5614533275083734,2020
Brazil,2022,1.735,244.4,1980.0,25.5,16.4,128.9,5.02,7.55,94.73,-0.51,0.8762626262626263,0.734910783553142,2020
Brazil,2023,2.353,223.3,1482.0,24.4,14.2,157.93,6.3,9.84,103.63,1.04,1.587719298245614,0.6561767871841955,2020
Brazil,2024,1.925,234.7,1624.0,24.9,12.5,152.05,5.44,7.51,98.19,0.86,1.1853448275862069,0.6457744163104241,2020
Argentina,2010,1.781,151.4,1006.0,19.1,7.6,32.3,7.56,9.49,29.68,8.35,1.7703777335984094,0.9188854489164088,2010
Argentina,2011,2.379,163.0,942.0,19.4,10.0,34.87,7.97,7.28,28.62,-0.11,2.5254777070063694,0.82076283338113,2010
Argentina,2012,2.801,173.2,917.0,19.4,10.8,42.72,7.53,6.91,42.21,6.72,3.054525627044711,0.988061797752809,2010
Argentina,2013,1.143,161.0,768.0,18.5,13.6,46.26,6.99,6.53,43.42,0.57,1.48828125,0.9386078685689582,2010
Argentina,2014,2.557,169.3,857.0,19.6,10.1,43.89,7.64,6.46,40.14,-3.2,2.983663943990665,0.9145591250854409,2010
Argentina,2015,2.143,155.3,768.0,18.9,9.8,48.22,5.7,6.02,33.25,3.69,2.7903645833333335,0.6895479054334301,2010
Argentina,2016,2.609,174.3,1044.0,19.5,9.2,46.38,6.35,5.72,31.58,5.36,2.4990421455938696,0.6808969383354894,2010
