country,year,crop_yield_t_per_ha,fertilizer_kg_per_ha,rainfall_mm,temperature_c,irrigation_pct,gdp_agri_usd_b,agri_employment_pct,rural_pop_pct,co2_agri_mt,food_inflation_pct
Brazil,2010,2.917,191.9,1379.0,24.0,12.3,87.72,8.99,12.4,91.86,8.11
Brazil,2011,2.975,198.1,1901.0,24.3,12.9,86.34,9.23,12.57,80.7,2.28
Brazil,2012,2.159,185.2,1707.0,24.8,13.3,100.0,8.65,12.5,107.89,3.37
Brazil,2013,1.0,179.9,1933.0,26.0,12.1,94.16,7.61,12.26,90.66,7.17
Brazil,2014,1.419,197.6,1825.0,25.3,14.2,106.76,8.21,11.45,89.08,7.53
Brazil,2015,2.557,193.6,1698.0,24.6,12.0,122.01,6.98,11.68,63.93,3.66
Brazil,2016,1.0,209.9,1954.0,25.8,12.0,109.04,7.71,10.47,72.11,0.47
Brazil,2017,1.143,212.3,1831.0,25.7,12.0,119.14,7.28,9.98,96.65,2.35
Brazil,2018,1.334,203.2,1542.0,25.5,12.0,122.35,6.89,10.11,98.62,4.61
Brazil,2019,3.014,211.2,1436.0,24.0,10.4,116.87,6.54,8.77,86.73,10.2
Brazil,2020,1.994,227.2,1598.0,25.0,11.3,128.37,6.5,7.79,101.91,5.95
Brazil,2021,2.515,197.4,1816.0,24.8,13.8,137.34,6.66,8.43,77.11,5.72
Brazil,2022,1.735,244.4,1980.0,25.5,16.4,128.9,5.02,7.55,94.73,-0.51
Brazil,2023,2.353,223.3,1482.0,24.4,14.2,157.93,6.3,9.84,103.63,1.04
Brazil,2024,1.925,234.7,1624.0,24.9,12.5,152.05,5.44,7.51,98.19,0.86
Argentina,2010,1.781,151.4,1006.0,19.1,7.6,32.3,7.56,9.49,29.68,8.35
Argentina,2011,2.379,163.0,942.0,19.4,10.0,34.87,7.97,7.28,28.62,-0.11
Argentina,2012,2.801,173.2,917.0,19.4,10.8,42.72,7.53,6.91,42.21,6.72
Argentina,2013,1.143,161.0,768.0,18.5,13.6,46.26,6.99,6.53,43.42,0.57
Argentina,2014,2.557,169.3,857.0,19.6,10.1,43.89,7.64,6.46,40.14,-3.2
Argentina,2015,2.143,155.3,768.0,18.9,9.8,48.22,5.7,6.02,33.25,3.69
Argentina,2016,2.609,174.3,1044.0,19.5,9.2,46.38,6.35,5.72,31.58,5.36
Argentina,2017,1.873,201.1,1103.0,19.0,10.1,43.84,5.55,5.42,47.49,2.08
Argentina,2018,1.524,147.8,882.0,18.8,9.7,48.53,5.54,3.57,28.29,13.52
Argentina,2019,4.001,163.4,1098.0,22.0,8.6,53.25,5.5,5.61,32.28,4.02
Argentina,2020,2.975,185.5,859.0,19.6,8.3,56.58,4.84,4.16,36.72,6.89
Argentina,2021,3.036,185.0,938.0,19.8,11.1,57.13,4.89,3.53,53.05,11.29
Argentina,2022,3.487,176.1,780.0,20.7,11.7,66.18,3.35,3.85,42.72,0.56
Argentina,2023,2.817,192.5,906.0,19.5,11.1,65.65,4.19,3.83,25.67,4.05
Argentina,2024,1.123,196.0,860.0,18.4,12.1,80.16,2.88,3.0,40.32,4.75
Chile,2010,1.0,157.0,342.0,16.9,38.5,12.42,7.5,11.79,8.31,2.21
Chile,2011,1.0,131.0,328.0,16.4,37.7,13.19,7.79,12.11,5.99,4.73
Chile,2012,1.0,140.3,354.0,17.1,34.3,11.86,6.42,10.35,7.27,6.25
Chile,2013,1.0,154.7,218.0,16.8,36.2,13.82,7.07,9.36,7.68,7.36
Chile,2014,1.0,166.8,313.0,17.3,35.3,14.78,6.44,10.56,9.05,6.08
Chile,2015,1.0,152.4,295.0,16.9,38.7,13.17,5.42,11.04,7.6,1.71
Chile,2016,1.0,166.1,300.0,17.7,38.8,15.93,5.53,11.23,8.62,-3.01
Chile,2017,1.0,154.5,304.0,17.7,34.2,13.92,3.94,8.64,9.33,7.1
Chile,2018,1.0,146.3,217.0,16.7,36.9,16.64,5.02,8.9,9.67,5.92
Chile,2019,1.0,157.1,294.0,16.8,39.8,16.12,4.61,8.21,8.81,8.32
Chile,2020,1.0,152.8,247.0,14.8,37.1,18.29,3.83,8.14,10.43,10.31
Chile,2021,1.0,187.0,303.0,16.1,37.7,15.77,3.17,7.35,10.9,11.88
Chile,2022,1.0,178.4,263.0,17.1,38.9,15.84,3.96,6.78,8.87,0.72
Chile,2023,1.0,181.7,293.0,17.0,40.3,21.28,2.89,5.77,11.37,3.67
Chile,2024,1.0,184.0,295.0,17.1,43.8,23.27,2.84,6.51,11.54,1.62
Peru,2010,2.635,115.5,1127.0,19.6,34.1,19.53,26.16,20.77,12.8,6.39
Peru,2011,4.092,130.0,1533.0,21.0,34.7,22.14,24.01,19.6,21.72,5.89
Peru,2012,3.623,136.1,1605.0,20.5,35.4,19.51,24.66,18.6,17.61,9.34
Peru,2013,3.705,135.0,1582.0,20.3,37.9,18.11,23.9,17.41,12.51,10.46
Peru,2014,1.06,133.3,1230.0,18.2,35.3,25.84,24.06,18.01,17.36,-1.24
Peru,2015,3.789,144.0,1485.0,21.2,37.4,23.26,23.09,18.63,20.88,1.12
Peru,2016,3.915,159.2,1466.0,21.7,36.2,25.14,23.28,17.78,21.64,3.55
Peru,2017,2.585,143.5,1581.0,19.4,38.7,21.98,23.59,15.52,15.07,-1.75
Peru,2018,3.891,153.4,1468.0,20.5,37.5,23.81,21.99,17.29,19.38,6.54
Peru,2019,3.991,156.6,1866.0,20.6,37.5,22.46,21.68,15.53,15.53,4.72
Peru,2020,4.284,156.6,1362.0,21.4,40.0,24.07,21.61,16.38,18.59,-0.79
Peru,2021,3.784,161.5,1338.0,20.9,35.9,27.53,22.45,15.42,19.45,-4.64
Peru,2022,4.461,157.9,1307.0,21.3,43.2,22.98,20.9,15.36,22.92,0.11
Peru,2023,3.19,184.7,1203.0,19.7,38.7,24.79,21.59,14.97,14.47,7.06
Peru,2024,3.949,181.2,1387.0,20.3,41.0,28.0,21.07,13.22,21.34,0.86
Colombia,2010,2.863,145.6,2171.0,24.2,13.8,33.48,15.74,18.02,30.6,2.52
Colombia,2011,1.801,157.1,1901.0,25.1,13.1,24.7,16.67,19.38,28.62,-2.75
Colombia,2012,3.403,163.1,1954.0,23.1,16.5,32.54,14.5,17.69,40.77,5.69
Colombia,2013,3.833,167.9,2148.0,22.7,15.8,30.87,16.21,16.68,39.77,0.59
Colombia,2014,2.867,176.7,1791.0,24.2,18.0,31.67,13.78,16.39,28.29,3.63
Colombia,2015,2.829,155.0,1612.0,24.5,14.7,26.37,14.97,16.19,28.15,-0.27
Colombia,2016,2.632,183.6,2572.0,24.5,16.7,33.4,14.69,16.04,40.18,2.91
Colombia,2017,1.527,176.3,2190.0,25.3,15.1,33.36,14.09,15.03,38.44,-4.01
Colombia,2018,3.787,175.4,1443.0,23.4,14.4,34.67,14.27,14.63,28.65,4.77
Colombia,2019,2.556,175.9,1781.0,24.6,15.9,37.82,13.29,14.89,28.92,4.95
Colombia,2020,2.264,175.7,1625.0,24.7,15.8,33.68,12.94,14.79,22.72,-0.99
Colombia,2021,2.509,215.2,2068.0,24.8,14.4,34.08,12.97,13.64,40.85,4.25
Colombia,2022,2.414,200.6,2187.0,24.9,13.6,31.33,13.0,14.03,31.34,-2.44
Colombia,2023,3.143,214.7,2431.0,24.7,16.2,36.18,12.11,12.59,32.54,13.2
Colombia,2024,2.465,221.1,1779.0,25.0,18.4,41.17,12.55,12.84,43.56,7.55
Mexico,2010,3.875,173.0,841.0,22.9,38.7,61.23,12.81,20.01,58.48,0.63
Mexico,2011,3.811,194.6,591.0,21.5,36.2,70.23,12.24,19.61,62.18,5.18
Mexico,2012,3.973,182.6,687.0,20.9,34.2,65.4,11.63,17.95,57.99,8.98
Mexico,2013,3.443,215.9,703.0,20.9,34.9,66.07,11.33,19.7,74.28,4.47
Mexico,2014,4.047,200.6,718.0,21.4,36.3,67.13,10.5,17.96,65.4,3.39
Mexico,2015,3.999,213.0,604.0,21.2,40.7,61.07,9.23,16.7,64.92,5.12
Mexico,2016,4.552,230.9,475.0,21.9,41.3,62.69,9.97,17.07,58.47,3.69
Mexico,2017,4.16,244.5,672.0,23.2,38.6,80.4,9.84,17.29,73.74,17.72
Mexico,2018,4.273,209.5,781.0,21.4,37.9,77.4,9.62,17.0,66.17,6.35
Mexico,2019,3.889,193.8,756.0,20.9,36.4,73.49,9.35,15.91,72.64,-0.37
Mexico,2020,4.264,218.7,696.0,21.9,37.6,79.94,9.04,14.68,48.35,4.95
Mexico,2021,4.33,230.1,698.0,21.9,41.9,70.45,8.0,14.83,73.67,9.98
Mexico,2022,3.982,194.3,557.0,21.1,39.2,76.54,8.42,14.98,76.9,2.3
Mexico,2023,4.176,247.4,571.0,22.1,40.9,80.02,9.05,14.36,97.17,4.1
Mexico,2024,4.535,244.4,610.0,21.2,41.8,86.54,7.43,15.09,87.4,10.75
Ecuador,2010,2.931,140.9,2231.0,24.0,19.7,13.81,26.9,36.29,12.77,5.3
Ecuador,2011,1.049,157.8,2508.0,25.8,20.8,12.9,26.01,35.54,15.83,8.46
Ecuador,2012,1.049,165.7,2330.0,25.5,21.0,12.28,26.6,33.15,15.07,-9.59
Ecuador,2013,3.724,164.0,2326.0,23.6,19.2,14.39,25.81,36.37,14.33,6.63
Ecuador,2014,2.599,163.5,1935.0,24.5,20.7,11.85,25.65,33.88,16.47,5.14
Ecuador,2015,2.148,163.8,2259.0,25.1,19.0,12.52,26.16,33.71,11.5,6.78
Ecuador,2016,2.144,150.0,2261.0,25.2,21.9,14.72,24.36,33.83,13.66,3.07
Ecuador,2017,1.273,188.7,2674.0,25.7,21.2,14.79,25.36,33.28,16.0,8.3
Ecuador,2018,1.707,165.1,2091.0,25.2,21.6,15.16,25.0,32.54,16.78,6.52
Ecuador,2019,3.785,194.9,2068.0,23.4,19.7,13.91,24.33,32.21,15.36,7.48
Ecuador,2020,2.298,184.0,2308.0,25.2,17.8,15.09,22.69,32.03,15.96,9.18
Ecuador,2021,1.915,185.6,2068.0,25.1,21.1,15.94,24.29,31.21,18.12,7.71
Ecuador,2022,2.232,198.7,2384.0,24.8,20.9,15.24,23.08,31.58,14.35,6.75
Ecuador,2023,1.0,186.3,2229.0,26.7,19.8,18.77,23.19,31.09,16.78,6.78
Ecuador,2024,1.332,211.5,2079.0,25.7,21.5,17.15,22.16,30.72,21.29,4.69
Bolivia,2010,2.581,103.0,1027.0,19.6,23.6,10.48,32.86,30.17,9.45,6.73
